City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,tautira,-17.73,-149.15,82.4,78,75,5.82,PF,1590447794
88,coihaique,-45.58,-72.07,46.4,75,40,6.93,CL,1590447520
89,port elizabeth,-33.92,25.57,59.0,41,31,26.4,ZA,1590447596
90,leningradskiy,69.38,178.42,31.44,97,99,6.13,RU,1590447794
91,mataura,-46.19,168.86,49.03,83,93,2.39,NZ,1590447795
92,nuuk,64.18,-51.72,32.0,95,100,11.41,GL,1590447795
93,san cristobal,7.77,-72.22,95.0,39,40,16.11,VE,1590447795
94,yulara,-25.24,130.99,51.8,93,90,6.93,AU,1590447795
95,plymouth,41.83,-70.83,71.6,82,1,6.93,US,1590447558
96,kruisfontein,-34.0,24.73,49.08,66,17,22.68,ZA,1590447795
97,kapoeta,4.77,33.59,77.05,69,99,5.59,SS,1590447795
98,margate,51.38,1.39,55.0,81,45,1.99,GB,1590447795
99,hovd,48.01,91.64,59.97,38,84,0.34,MN,1590447795
100,kavieng,-2.57,150.8,84.65,70,33,7.7,PG,1590447796
101,den helder,52.96,4.76,52.0,100,17,3.36,NL,1590447796
102,siuna,13.73,-84.78,87.91,65,38,5.06,NI,1590447796
103,ketchikan,55.34,-131.65,55.4,66,40,10.29,US,1590447796
104,hamilton,39.18,-84.53,82.99,74,1,10.29,US,1590447646
105,zhangjiakou,40.81,114.88,57.58,46,10,5.17,CN,1590447700
106,kodiak,57.79,-152.41,50.0,66,90,10.29,US,1590447796
107,kumluca,36.37,30.29,67.03,52,0,3.85,TR,1590447797
108,tessalit,20.2,1.01,86.72,14,86,4.27,ML,1590447797
109,khatanga,71.97,102.5,36.41,84,100,7.2,RU,1590447797
110,koufalia,40.78,22.57,61.0,76,0,3.38,GR,1590447797
111,monroe,43.15,-77.68,84.99,54,20,4.7,US,1590447520
112,broken hill,-31.95,141.43,42.8,81,58,4.7,AU,1590447797
113,qaanaaq,77.48,-69.36,32.29,90,53,4.47,GL,1590447797
114,ilo,-17.64,-71.34,62.6,79,0,2.8,PE,1590447659
115,tilichiki,60.47,166.1,37.02,83,6,1.83,RU,1590447798
116,caninde de sao francisco,-9.66,-37.79,75.54,85,16,7.49,BR,1590447608
117,flinders,-34.58,150.86,55.99,96,94,3.0,AU,1590447798
118,englewood,39.65,-104.99,66.0,38,75,10.29,US,1590447513
119,port alfred,-33.59,26.89,60.01,44,10,10.0,ZA,1590447798
120,katsuura,35.13,140.3,72.0,88,75,2.24,JP,1590447798
121,shakiso,5.75,38.92,60.84,97,96,1.45,ET,1590447799
122,galeana,24.83,-100.07,89.01,11,30,14.0,MX,1590447799
123,berlevag,70.86,29.09,45.39,81,13,4.68,NO,1590447784
124,vestmannaeyjar,63.44,-20.27,46.24,78,99,27.74,IS,1590447799
125,hilo,19.73,-155.09,80.6,61,90,4.7,US,1590447606
126,nang rong,14.64,102.79,77.74,89,100,7.56,TH,1590447799
127,nikolskoye,59.7,30.79,46.4,61,10,4.47,RU,1590447799
128,port blair,11.67,92.75,82.94,81,100,8.52,IN,1590447799
129,mount gambier,-37.83,140.77,39.2,100,99,8.05,AU,1590447550
130,carnarvon,-24.87,113.63,61.56,71,38,18.97,AU,1590447800
131,along,28.17,94.77,66.13,89,100,2.28,IN,1590447800
132,sao joao da barra,-21.64,-41.05,72.99,91,42,11.48,BR,1590447565
133,haines junction,60.75,-137.51,52.83,40,36,9.15,CA,1590447800
134,clyde river,70.47,-68.59,26.6,86,75,10.29,CA,1590447800
135,lorengau,-2.02,147.27,85.06,70,35,6.17,PG,1590447666
136,kaeo,-35.1,173.78,66.0,3,98,1.01,NZ,1590447800
137,souillac,-20.52,57.52,73.4,83,75,16.11,MU,1590447801
138,taltal,-25.4,-70.48,57.97,79,50,4.29,CL,1590447801
139,oromocto,45.84,-66.48,66.2,48,1,16.11,CA,1590447801
140,omsukchan,62.53,155.8,35.08,83,0,2.82,RU,1590447801
141,sesvete,45.83,16.12,55.0,87,87,6.93,HR,1590447801
142,urucara,-2.54,-57.76,75.94,95,56,0.81,BR,1590447801
143,qasigiannguit,68.82,-51.19,28.4,79,72,4.7,GL,1590447801
144,vrangel,42.73,133.08,50.58,88,3,10.11,RU,1590447801
145,shingu,33.73,135.98,71.91,65,68,0.76,JP,1590447549
146,rio gallegos,-51.62,-69.22,44.6,87,90,11.41,AR,1590447802
147,dikson,73.51,80.55,29.12,95,100,22.77,RU,1590447802
148,lebu,-37.62,-73.65,56.12,82,0,8.97,CL,1590447802
149,tasiilaq,65.61,-37.64,37.4,74,45,16.11,GL,1590447802
150,hermanus,-34.42,19.23,46.99,98,91,14.32,ZA,1590447802
151,gadsden,34.01,-86.01,87.8,45,20,8.05,US,1590447802
152,pangnirtung,66.15,-65.71,37.4,55,90,14.99,CA,1590447802
153,mangrol,21.12,70.12,81.82,84,0,11.9,IN,1590447802
154,el carmen,8.51,-73.45,75.92,88,100,2.28,CO,1590447802
155,guerrero negro,27.98,-114.06,70.54,60,93,16.89,MX,1590447802
156,aykhal,66.0,111.5,48.2,93,90,4.47,RU,1590447803
157,prabumulih,-3.45,104.25,75.34,98,94,1.9,ID,1590447803
158,bathsheba,13.22,-59.52,82.4,74,20,13.87,BB,1590447514
159,sayyan,15.17,44.32,60.89,63,60,2.55,YE,1590447803
160,lozuvatka,48.06,33.29,51.8,81,99,6.71,UA,1590447723
161,kaitangata,-46.28,169.85,50.0,84,76,4.0,NZ,1590447803
162,la ronge,55.1,-105.28,73.4,35,75,10.29,CA,1590447803
163,kurayoshi,35.43,133.82,68.0,88,75,2.24,JP,1590447803
164,slave lake,55.28,-114.77,60.8,55,75,9.17,CA,1590447588
165,rodionovo-nesvetayskaya,47.61,39.71,53.01,93,40,13.42,RU,1590447804
166,hauterive,46.09,3.45,59.0,67,4,5.82,FR,1590447804
167,kunming,25.04,102.72,59.0,93,90,11.18,CN,1590447629
168,olkhovka,53.21,60.61,50.36,67,0,8.01,RU,1590447804
169,santo antonio do ica,-3.1,-67.94,77.11,79,84,1.43,BR,1590447804
170,le port,-20.94,55.29,69.8,88,8,11.41,RE,1590447804
171,bredasdorp,-34.53,20.04,50.0,81,42,10.29,ZA,1590447804
172,provideniya,64.38,-173.3,35.6,80,75,11.18,RU,1590447806
173,puerto ayora,-0.74,-90.35,82.4,61,40,12.75,EC,1590447806
174,kansanshi,-12.1,26.43,57.72,68,0,3.33,ZM,1590447806
175,roald,62.58,6.13,50.0,81,100,8.05,NO,1590447666
176,evensk,61.95,159.23,39.85,72,99,8.68,RU,1590447806
177,srednekolymsk,67.45,153.68,52.72,39,5,7.38,RU,1590447806
178,shiyan,32.65,110.78,66.47,68,89,6.33,CN,1590447806
179,arraial do cabo,-22.97,-42.03,64.4,100,8,4.38,BR,1590447806
180,kindersley,51.47,-109.17,75.2,22,75,14.99,CA,1590447651
181,kurumkan,54.3,110.3,60.58,44,8,2.66,RU,1590447807
182,kloulklubed,7.04,134.26,80.6,88,75,5.82,PW,1590447807
183,lingao,19.91,109.69,83.21,77,87,3.33,CN,1590447807
184,chokurdakh,70.63,147.92,37.83,79,100,6.6,RU,1590447807
185,carrizal,10.35,-66.99,82.99,46,100,3.29,VE,1590447807
186,sena madureira,-9.07,-68.66,74.12,76,28,2.01,BR,1590447807
187,kholmy,51.87,32.6,49.48,94,100,5.82,UA,1590447807
188,jaru,-10.44,-62.47,70.74,89,72,2.33,BR,1590447649
189,bambous virieux,-20.34,57.76,73.4,83,75,16.11,MU,1590447808
190,pemangkat,1.17,108.97,79.3,89,78,4.41,ID,1590447808
191,peniche,39.36,-9.38,64.99,88,0,5.99,PT,1590447808
192,tura,25.52,90.22,74.03,95,100,10.94,IN,1590447808
193,svetlaya,46.54,138.33,46.63,88,100,6.04,RU,1590447808
194,vilhena,-12.74,-60.15,69.8,83,20,5.82,BR,1590447626
195,amazar,53.86,120.88,60.67,43,35,3.02,RU,1590447809
196,det udom,14.91,105.08,77.0,94,40,3.36,TH,1590447809
197,vardo,70.37,31.11,50.0,57,2,6.93,NO,1590447784
198,jamestown,42.1,-79.24,82.99,54,1,4.7,US,1590447770
199,conde,-7.26,-34.91,77.0,100,75,4.76,BR,1590447810
200,fort nelson,58.81,-122.7,60.8,44,75,10.29,CA,1590447646
201,batagay,67.63,134.63,60.31,60,53,4.27,RU,1590447811
202,thunder bay,48.4,-89.32,62.6,72,90,13.87,CA,1590447812
203,chapais,49.78,-74.85,60.8,93,90,6.78,CA,1590447812
204,hasaki,35.73,140.83,71.01,88,75,6.93,JP,1590447812
205,saldanha,-33.01,17.94,50.0,87,88,2.24,ZA,1590447813
206,kuytun,54.34,101.5,56.84,74,100,6.82,RU,1590447813
207,akmene,56.25,22.75,44.6,87,16,4.7,LT,1590447814
208,sambava,-14.27,50.17,71.08,86,20,9.75,MG,1590447814
209,muros,42.78,-9.06,64.0,55,0,10.0,ES,1590447626
210,linxia,35.6,103.21,47.95,72,100,3.2,CN,1590447816
211,zhigansk,66.77,123.37,60.57,61,35,13.96,RU,1590447550
212,luanda,-8.84,13.23,78.8,83,40,5.82,AO,1590447605
213,bambanglipuro,-7.95,110.28,77.56,87,95,3.2,ID,1590447562
214,bengkulu,-3.8,102.27,78.21,80,97,4.5,ID,1590447817
215,missungwi,-2.85,33.08,69.17,73,48,2.98,TZ,1590447818
216,pingdingshan,33.74,113.3,66.54,68,99,10.38,CN,1590447818
217,clarence town,-32.58,151.78,66.99,93,75,8.05,AU,1590447818
218,russell,32.35,-85.2,80.6,61,75,12.75,US,1590447527
219,severo-kurilsk,50.68,156.12,40.17,87,100,7.99,RU,1590447819
220,camana,-16.62,-72.71,65.57,71,0,3.62,PE,1590447819
221,hualmay,-11.1,-77.61,66.18,80,21,4.07,PE,1590447534
222,lekoni,-1.58,14.26,76.3,83,99,2.48,GA,1590447819
223,nome,64.5,-165.41,48.0,93,75,12.75,US,1590447819
224,mattawa,46.74,-119.9,73.0,68,100,8.05,US,1590447819
225,geraldton,-28.77,114.6,57.2,87,75,6.93,AU,1590447819
226,olavarria,-36.89,-60.32,54.0,72,32,1.99,AR,1590447559
227,haapiti,-17.57,-149.87,82.4,78,75,5.82,PF,1590447820
228,vila velha,-20.33,-40.29,73.99,94,100,2.24,BR,1590447672
229,ponta do sol,32.67,-17.1,75.2,41,20,12.75,PT,1590447820
230,verkhnyaya inta,65.98,60.31,36.82,80,1,8.5,RU,1590447820
231,basoko,1.24,23.62,73.94,87,26,2.42,CD,1590447820
232,dinghai,26.28,119.79,75.2,94,75,8.95,CN,1590447820
233,najran,17.49,44.13,86.0,15,40,6.93,SA,1590447820
234,dahra,36.25,0.85,75.2,41,98,9.17,DZ,1590447820
235,kpandu,7.0,0.29,75.76,78,100,3.69,GH,1590447821
236,lamu,-2.27,40.9,78.31,88,5,10.33,KE,1590447821
237,iqaluit,63.75,-68.51,32.0,98,90,2.24,CA,1590447821
238,parrita,9.52,-84.32,75.2,83,75,3.36,CR,1590447821
239,mednogorsk,51.41,57.59,54.36,63,0,20.69,RU,1590447821
240,mount isa,-20.73,139.5,53.6,58,31,4.7,AU,1590447821
241,bonnyville,54.27,-110.73,75.2,31,90,2.24,CA,1590447583
242,havre-saint-pierre,50.23,-63.6,62.6,39,75,4.7,CA,1590447821
243,namibe,-15.2,12.15,70.79,66,0,4.21,AO,1590447821
244,aloleng,16.13,119.78,84.76,71,38,4.36,PH,1590447821
245,santiago,-33.46,-70.65,77.0,20,5,2.24,CL,1590447601
246,faya,18.39,42.45,71.6,30,40,12.75,SA,1590447529
247,victoria,22.29,114.16,84.0,83,100,8.01,HK,1590447556
248,klaksvik,62.23,-6.59,48.2,87,0,18.34,FO,1590447822
249,hobyo,5.35,48.53,82.2,78,0,24.34,SO,1590447822
250,bara,10.37,10.73,80.83,68,100,4.63,NG,1590447822
251,muyezerskiy,63.93,31.65,40.48,70,94,2.21,RU,1590447822
252,bajil,15.06,43.29,87.33,61,34,5.99,YE,1590447822
253,montego bay,18.47,-77.92,88.0,79,0,4.07,JM,1590447823
254,fairbanks,64.84,-147.72,55.4,87,90,9.17,US,1590447823
255,odweyne,9.41,45.06,76.48,65,44,11.12,SO,1590447823
256,buraydah,26.33,43.98,82.4,26,61,10.29,SA,1590447823
257,dudinka,69.41,86.18,33.8,74,40,6.71,RU,1590447823
258,portobelo,9.55,-79.65,84.99,83,40,2.24,PA,1590447823
259,bereda,43.27,-7.54,55.99,89,1,10.0,ES,1590447823
260,luxor,25.7,32.64,72.59,20,0,6.15,EG,1590447823
261,fare,-16.7,-151.02,83.26,77,100,9.26,PF,1590447823
262,tarata,-17.62,-66.02,68.0,19,0,4.7,BO,1590447824
263,bowen,-20.02,148.23,66.0,93,0,3.36,AU,1590447824
264,vila do maio,15.13,-23.22,73.4,73,20,8.05,CV,1590447824
265,aasiaat,68.71,-52.87,29.07,93,71,6.46,GL,1590447784
266,kieta,-6.22,155.63,85.98,67,90,7.43,PG,1590447578
267,marsa matruh,31.35,27.25,66.2,77,20,8.84,EG,1590447679
268,longkou,37.65,120.33,59.43,87,100,8.46,CN,1590447824
269,ierapetra,35.01,25.74,66.99,70,52,7.0,GR,1590447824
270,nabire,-3.37,135.48,79.59,82,33,2.71,ID,1590447825
271,humaita,-7.51,-63.02,77.27,78,45,2.35,BR,1590447825
272,foam lake,51.65,-103.53,68.32,42,76,5.93,CA,1590447825
273,carutapera,-1.2,-46.02,77.14,88,0,5.12,BR,1590447825
274,luderitz,-26.65,15.16,60.8,63,69,12.75,NA,1590447825
275,itaituba,-4.28,-55.98,77.05,90,4,1.07,BR,1590447628
276,lavrentiya,65.58,-171.0,33.57,96,100,4.27,RU,1590447825
277,sharan,54.82,54.0,46.63,85,0,2.44,RU,1590447825
278,danielskuil,-28.19,23.54,44.01,76,55,22.59,ZA,1590447825
279,soe,-9.86,124.28,68.7,100,86,2.91,ID,1590447826
280,ovalle,-30.6,-71.2,55.09,73,9,2.37,CL,1590447826
281,asosa,10.07,34.53,65.01,95,78,2.17,ET,1590447725
282,benguela,-12.58,13.41,71.74,79,0,2.53,AO,1590447826
283,iquitos,-3.75,-73.25,71.6,88,90,3.36,PE,1590447826
284,gornyy,55.12,83.91,61.05,97,80,6.55,RU,1590447826
285,businga,3.33,20.88,73.89,87,56,1.63,CD,1590447826
286,adrar,20.5,-10.07,85.68,18,0,7.0,MR,1590447826
287,huangnihe,43.56,128.02,51.46,70,2,8.25,CN,1590447827
288,itarema,-2.92,-39.92,77.43,87,0,6.98,BR,1590447827
289,broome,42.25,-75.83,79.0,60,1,5.82,US,1590447827
290,awjilah,29.11,21.29,71.74,40,0,10.09,LY,1590447784
291,bud,39.45,-86.18,84.2,58,1,9.17,US,1590447827
292,ramotswa,-24.87,25.87,55.4,43,0,5.82,BW,1590447827
293,pisco,-13.7,-76.22,64.4,82,90,6.93,PE,1590447827
294,dhamtari,20.71,81.55,86.05,37,3,10.04,IN,1590447827
295,talara,-4.58,-81.27,68.86,84,52,11.65,PE,1590447669
296,grindavik,63.84,-22.43,42.8,93,75,10.29,IS,1590447828
297,ziyang,29.25,117.85,66.63,95,100,1.36,CN,1590447828
298,loa janan,-0.58,117.09,76.82,92,75,1.54,ID,1590447828
299,castro,-24.79,-50.01,49.59,68,0,10.6,BR,1590447828
300,nahariyya,33.01,35.09,66.11,69,0,2.8,IL,1590447828
301,filingue,14.35,3.32,95.11,25,82,10.8,NE,1590447828
302,nioro,13.35,-15.75,74.95,68,1,7.65,GM,1590447828
303,navirai,-23.07,-54.19,55.65,63,0,3.96,BR,1590447641
304,usinsk,65.99,57.53,38.7,73,12,13.27,RU,1590447828
305,hami,42.8,93.45,64.02,40,5,6.58,CN,1590447829
306,zyryanka,65.75,150.85,51.06,43,100,11.97,RU,1590447829
307,hambantota,6.12,81.12,81.7,79,99,12.57,LK,1590447829
